ClassId,AverageSize,DistinctSizesCount,PeakRecordsCount,TotalRecords,StdDev
57785,317,57,3575,55292,23.3
57785,221,64,96,1755,24
57785,316,33,89,979,26.6
58006,117,7,274,1230,9.2
58006,113,61,98,1512,16.2
58179,117,7,52,100,2.3
58711,89,11,150,1212,10.2
58711,90,46,99,2604,14.1
59786,268,21,20,174,10
60434,112,34,26329,52147,11.8
60434,210,236,97,5421,59.5
60434,441,115,7,211,61.2
60434,709,7,2,9,54.4
60434,1067,5,1,5,90.6
61065,56,5,36,78,4.9
61065,188,6,4,11,25.8
64741,7543,12,3,20,68.1
2468,118,154,90,1084,78.9
2468,470,59,17,171,62.4
2630,316,17,7,62,4.6
3200,149,24,3,31,13.9
3227,25190,38,1,38,2254.5
3646,3297,181,2,187,707.2
3646,4893,61,2,62,703.8
3646,9917,3,1,3,1778.3
4006,80,106,62,233,2420.9
4006,26517,7,1,7,6477.3
4031,109,739,34,1619,1001.2
4031,13745,10,1,10,3303.3
4031,20303,11,1,11,2498
4104,1015,21,1,21,361.1
5000,393,662,139080,7063269,197
5000,1558,700,31142,3147148,192.6
5000,1139,420,98,9476,473.2
5000,3073,138,3,152,435.9
5000,6385,47,2,50,546.4
6217,3452,4,1,4,6848.9
6849,8435,10,3,12,10224
7344,249,11,140,1274,9.6
7344,244,41,96,1053,14.2
8345,419,5,1,5,3
8428,153,13,6,24,50.9
8428,238,111,32,728,32.3
8952,236,16,71,189,8.5
9026,507,12,1,12,62.8
9026,781,5,2,6,23.2
9026,967,73,48,1025,13.8
9026,1919,3,1,3,93.5
9250,34,6,67,136,5.8
9655,305,15,34,195,114.8
9655,28797,3,1,3,1904.6
9698,631,215,62,999,5879.2
30309,249,41,1160,18570,17.6
30309,270,68,98,2107,30.6
30934,62,11,14005,35880,4.7
30934,73,32,36,125,288.8
30934,2382,4,1,4,448.6
33067,794,17,6,47,10.1
34787,290,13,42,97,1203.9
34787,23928,3,1,3,3083.2
35111,1859,7,1,7,1377.9
35864,109,3,1209,2161,22.8
35864,192,2,252,394,14.4
35864,241,4029,92,5708,3393.6
35864,24304,3407,4,3885,4628.5
38018,115,23,443944,1077083,30.8
38018,92,10,75,238,24.2
38933,251,5,1,5,109.4
40850,37,3,1731,3149,0.7
40850,690,179,3183,177883,51
40850,918,236,5238,184550,56.6
40850,585,1710,95,7078,723.3
40850,5691,136,1,136,1028.2
40850,9579,12,1,12,917.4
40850,14791,2,1,2,1971.4
40952,9878,4,1,4,11535.3
41220,32,17,104479,300534,3.2
42478,450,277,8,527,109
42478,841,40,2,41,108.1
42478,1465,5,1,5,127.6
44209,94,2,3,4,47
44209,416,84,19,299,29
45098,4984,14,1,14,3311.7
45494,74,36,85,368,9.8
46130,871,95,11,208,246.6
46130,1485,123,42,599,73.3
47913,413,37,2,47,103.6
49406,147,178,9956,196564,75.1
49406,584,105,9095,198075,29.1
49406,846,86,1005,32858,63.4
49406,573,537,99,13651,255
49406,1636,280,22,691,223.7
49406,2973,15,2,17,344.3
49406,3535,8,2,9,313.9
50114,13666,9,1,9,13817.7
51357,326,4,477,1823,2.8
51357,346,35,434,8531,23.5
51357,408,38,219,4947,16.6
51357,600,874,99,21600,184
51357,1521,510,11,912,263.5
51357,2675,40,1,40,226.8
52373,784,8,2,9,13.1
53068,959,838,24,3119,320.3
53068,2037,971,11,2560,290.7
53198,77,18,3,24,8.5
53455,164,55,25969,346776,13.8
53455,200,51,4542,67240,11.9
53455,195,42,88,1004,59.5
53518,57,8,1272,3631,2.3
53518,58,5,66,141,5.5
53700,138,78,91,1766,20.3
55087,67,6,3,9,2.3
56388,1120,12,2,13,19.1
56988,135,19,581,4777,15.7
56988,198,9,171,1223,7.9
56988,126,506,98,5345,338.9
56988,1619,43,5,65,241.8
57499,423,69,4072,90378,13.8
57499,473,71,21518,553230,16.8
57499,409,106,99,2033,76.8
57499,863,25,2,31,66.8
